path,face,label
./datasets/face_forensics/img_data/deepfake/NW1ALA2PD1K1LIX3WSZ1.jpg,"[617, 115, 388, 517]",FAKE
./datasets/face_forensics/img_data/deepfake/ZWROB8V1Q5A2H1O6G1I4.jpg,"[514, 51, 226, 273]",FAKE
./datasets/face_forensics/img_data/deepfake/S1BYLRRYSTV3O05F2350.jpg,"[269, 69, 106, 135]",FAKE
./datasets/face_forensics/img_data/deepfake/ZK48E8TM07UKJT0NXNQC.jpg,"[260, 54, 138, 177]",FAKE
./datasets/face_forensics/img_data/deepfake/VII884RTS87PTJJ3DCKH.jpg,"[178, 58, 81, 110]",FAKE
./datasets/face_forensics/img_data/deepfake/DN06C6O5X0QBUJ1U0UL5.jpg,"[430, 122, 260, 311]",FAKE
./datasets/face_forensics/img_data/deepfake/ZWLVKW0A32YHV7G9WG59.jpg,"[279, 103, 93, 138]",FAKE
./datasets/face_forensics/img_data/deepfake/WVW0OFE4RYH15Y1SP6NE.jpg,"[943, 128, 249, 360]",FAKE
./datasets/face_forensics/img_data/deepfake/D7150Q402K7NF4VSX0GF.jpg,"[530, 157, 188, 246]",FAKE
./datasets/face_forensics/img_data/deepfake/ZAFTJTGFRSP97GU633S9.jpg,"[193, 90, 111, 155]",FAKE
./datasets/face_forensics/img_data/deepfake/QA1XYJMGNP21818NWU3U.jpg,"[197, 110, 126, 160]",FAKE
./datasets/face_forensics/img_data/deepfake/18123CDPDMCHCBSDNDU3.jpg,"[134, 71, 107, 136]",FAKE
./datasets/face_forensics/img_data/deepfake/0A58NUYP6E6UBSWC6S99.jpg,"[528, 102, 269, 346]",FAKE
./datasets/face_forensics/img_data/deepfake/C5279FQZVMRMFIW4GM7M.jpg,"[332, 120, 252, 314]",FAKE
./datasets/face_forensics/img_data/deepfake/38O69XOFHMNG8274J2OJ.jpg,"[583, 78, 140, 185]",FAKE
./datasets/face_forensics/img_data/deepfake/97NIZEOMCV1VTWSBSQDA.jpg,"[753, 135, 298, 397]",FAKE
./datasets/face_forensics/img_data/deepfake/7R5OXA65N1JP6ZKAJ79R.jpg,"[918, 75, 362, 474]",FAKE
./datasets/face_forensics/img_data/deepfake/DZRIFQKB8B7UK3BHWZIF.jpg,"[270, 126, 110, 133]",FAKE
./datasets/face_forensics/img_data/deepfake/REI2NN2OSO3BGXHF3SRE.jpg,"[390, 74, 105, 138]",FAKE
./datasets/face_forensics/img_data/deepfake/JQ3JDH7DIH43M8ZOCC49.jpg,"[360, 100, 128, 170]",FAKE
./datasets/face_forensics/img_data/deepfake/J385IS8L61CK1MV72KGG.jpg,"[905, 269, 325, 399]",FAKE
./datasets/face_forensics/img_data/deepfake/GC9GB16PX0E2E3RSSEAA.jpg,"[240, 75, 133, 185]",FAKE
./datasets/face_forensics/img_data/deepfake/UBB4PXMO5NHXBBKS8UOY.jpg,"[523, 138, 184, 238]",FAKE
./datasets/face_forensics/img_data/deepfake/JIW5YIA7CDP8CELCMKWU.jpg,"[236, 93, 186, 236]",FAKE
./datasets/face_forensics/img_data/deepfake/D6T9WV3I431B2XXNN5HL.jpg,"[571, 318, 444, 607]",FAKE
./datasets/face_forensics/img_data/deepfake/ZCAI1VJOGZBWA0ERGQR3.jpg,"[273, 75, 98, 125]",FAKE
./datasets/face_forensics/img_data/deepfake/A1CLQ50MKYER9DHSI6SI.jpg,"[227, 102, 110, 143]",FAKE
./datasets/face_forensics/img_data/deepfake/ZO9A7HW5KGVUSYM5M075.jpg,"[320, 104, 79, 109]",FAKE
./datasets/face_forensics/img_data/deepfake/0OP8YVOJDTXP9F2E4I11.jpg,"[325, 71, 148, 193]",FAKE
./datasets/face_forensics/img_data/deepfake/KKHQTTB6GEDZ8UL481UY.jpg,"[375, 90, 123, 162]",FAKE
./datasets/face_forensics/img_data/deepfake/X56MC3O1W4PLJEF2OF71.jpg,"[558, 78, 108, 133]",FAKE
./datasets/face_forensics/img_data/deepfake/YEKD7TGNA057BO4SHACB.jpg,"[839, 165, 104, 150]",FAKE
./datasets/face_forensics/img_data/deepfake/UCIEKPMTXGEUZDMLSDOL.jpg,"[218, 78, 82, 106]",FAKE
./datasets/face_forensics/img_data/deepfake/OA3HJAF4BDE8Y8U9VRCY.jpg,"[194, 57, 110, 141]",FAKE
./datasets/face_forensics/img_data/deepfake/YT3YNNFSANYHKUOY6AGD.jpg,"[517, 128, 315, 430]",FAKE
./datasets/face_forensics/img_data/deepfake/MB4TH0OESQV2JLCR3QIQ.jpg,"[231, 79, 121, 156]",FAKE
./datasets/face_forensics/img_data/deepfake/5JR1C5UU16ZGGBQGC2MQ.jpg,"[294, 130, 92, 125]",FAKE
./datasets/face_forensics/img_data/deepfake/0YVFA3AWSZC1PXE2OKVO.jpg,"[281, 108, 89, 114]",FAKE
./datasets/face_forensics/img_data/deepfake/0NZ4QLEICN3NISVVLAF9.jpg,"[225, 60, 142, 179]",FAKE
./datasets/face_forensics/img_data/deepfake/CEV9FAC1YY1K64I8J8OB.jpg,"[285, 156, 79, 99]",FAKE
./datasets/face_forensics/img_data/deepfake/VTOCTCCP6KJ8G2UGNMR1.jpg,"[274, 106, 156, 212]",FAKE
./datasets/face_forensics/img_data/deepfake/KORYPPAQTUT7I7ZEAL6T.jpg,"[1228, 147, 231, 298]",FAKE
./datasets/face_forensics/img_data/deepfake/035ZWDP0CS6GX1EE5QQP.jpg,"[278, 86, 65, 86]",FAKE
./datasets/face_forensics/img_data/deepfake/A77X08XGO0N9TOEX2UD7.jpg,"[504, 133, 137, 180]",FAKE
./datasets/face_forensics/img_data/deepfake/13KIBX9BLEFOXL2SRE05.jpg,"[239, 82, 144, 186]",FAKE
./datasets/face_forensics/img_data/deepfake/WPVRSLSHK1TFEAE0Z526.jpg,"[669, 62, 324, 421]",FAKE
./datasets/face_forensics/img_data/deepfake/1CFCJ5CWW5S49K87326Y.jpg,"[246, 120, 109, 144]",FAKE
./datasets/face_forensics/img_data/deepfake/47NUTCD5ITIUF1QV6JF3.jpg,"[317, 66, 86, 112]",FAKE
./datasets/face_forensics/img_data/deepfake/7ERC6OZ6LGIYG8WUPZCS.jpg,"[330, 99, 105, 139]",FAKE
./datasets/face_forensics/img_data/deepfake/6LSQH61ILWE2UICSZ4FK.jpg,"[270, 103, 111, 138]",FAKE
./datasets/face_forensics/img_data/deepfake/6YC13H5KS7EEC9H8N6F7.jpg,"[387, 251, 223, 292]",FAKE
./datasets/face_forensics/img_data/deepfake/UIEISCCZL0BWC3JNIU24.jpg,"[482, 137, 172, 225]",FAKE
./datasets/face_forensics/img_data/deepfake/41ZDKIFRISVLKHBMFIFT.jpg,"[265, 144, 208, 267]",FAKE
./datasets/face_forensics/img_data/deepfake/7FT84G9R6A0QJ5OU4NGG.jpg,"[337, 82, 120, 160]",FAKE
./datasets/face_forensics/img_data/deepfake/KF1PTE84GU9GRPZ0AY3P.jpg,"[555, 110, 180, 233]",FAKE
./datasets/face_forensics/img_data/deepfake/8DSMETZW0O7HYLTRND0D.jpg,"[268, 89, 85, 112]",FAKE
./datasets/face_forensics/img_data/deepfake/Z7P0FCQ10F7JEGMWT7NE.jpg,"[245, 123, 102, 130]",FAKE
./datasets/face_forensics/img_data/deepfake/LKBZYYKCML180NDLPJ8K.jpg,"[1224, 217, 404, 505]",FAKE
./datasets/face_forensics/img_data/deepfake/6ZLO169C5DX8RGE96PDB.jpg,"[281, 106, 89, 113]",FAKE
